SquarespaceProductName,QuickBooksItem
Leather Scrap Box - 2 Boxes (10lbs),Scrap Leather
Horween • Russet Horsehide Strips - Soft Rolled Strips - 9+ oz,Russet Strips SR 9 oz and up
C.F. Stead  Swatch Books - Waxy Commander,Sample Book - All Stead
C.F. Stead  Swatch Books - Waxy Mohawk,Sample Book - All Stead
35mm Color 8 Cordovan Belt - Size 34,Commission
Tulliani Belts • Wacker Drive - 36 - Natural Chomexcel,Commission
C.F. Stead  Swatch Books - Rambler,Sample Book - All Stead
"Tokonole • Leather Burnishing Gum, Clear - 500 g",Tokonole Clear 500g
Horween • Russet Horsehide Strips - Hard Rolled Strips - 7-9 oz,Russet Strips HR 7-9 oz
Horween Derby Leather Panels - 1’ Panel (12”x12”) - Light Natural - 5-6 oz (2-2.4 mm),Panel Derby Lt Nat 5-6 oz
Horween Dublin Leather Panels - 1’ Panel (12”x12”) - Brown Nut - 3-4 oz (1.2-1.6 mm),Panel Dublin Brown Nut 3.5-4 oz
Horween • Derby - Olde English - 4-5 oz (1.6 – 2 mm),Derby Olde English 3.5-4 oz
"Horween Chromexcel® Leather Panels - 2' Panel (12""x24"") - Black - 3-4 oz (1.2-1.6 mm)",Panel Chrxl Black 3.5-4 oz
Horween • Montana - Chocolate - 5-6 oz (2.0 –  2.4 mm),Bison Montana Black 5-6 oz
Horween • Derby - Natural - 4-5 oz (1.6 – 2 mm),Derby Natural 3.5-4 oz
Horween • Chromexcel® Strips - Tan,*Horsebutt Strips Chrxl Tan
Conceria Walpier • Buttero - No Resin - Foresta - 6.5-7 oz (2.6-2.8 mm),Buttero #100 Black (Res) 6.5-7
C.F. Stead • Doeskin - Black,Doeskin Black
Conceria Walpier • Buttero - Resin - Natural - 6.5-7 oz (2.6-2.8 mm),Buttero Natural (Resin) 6.5-7
Conceria Walpier • Buttero - No Resin - #11 Green - 3-3.5 oz (1.2-1.4 mm),Buttero #11 Green (Resin) 3-3.5
Horween Dublin Leather Panels - 2’ Panel (12”x24”) - Light Natural - 3-4 oz (1.2-1.6 mm),Panel Dublin Lt Nat 3.5-4 oz
Horween • Dublin - Black - 3-4 oz (1.2-1.6 mm),Dublin Black 3.5-4 oz
