internal_sku,squarespace_product,squarespace_variant,squarespace_sku,quickbooks_item,tannage,color,weight,product_type
CFS-4555,C.F. Stead • Waxy Mohawk,Teak: 4.5-5.5 oz (1.8-2.2 mm),SQ7739113,,,,4.5-5.5,full_hide
HOR-DUB-OLD-45,Horween • Dublin,Olde English - 4-5 oz (1.6 – 2 mm),SQ2487828,Dublin Olde English 4-5 oz,Dublin,Olde English,4-5,full_hide
HOR-CYP-ENG-56,Horween • Cypress,English Tan - 5-6 oz (2.0-2.4 mm),SQ9369354,Cypress English Tan 5-6 oz,Cypress,English Tan,5-6,full_hide
WAL-BUT-BLK-657,Conceria Walpier • Buttero,Resin - Black - 6.5-7 oz (2.6-2.8 mm),SQ0416321,Buttero #100 Black (Res) 6.5-7,Buttero,Black,6.5-7,full_hide
WAL-BUT-BRN-657,Conceria Walpier • Buttero,Resin - #7 Brown - 6.5-7 oz (2.6-2.8 mm),SQ4234447,Buttero #2 Brown (Resin) 6.5-7,Buttero,Brown,6.5-7,full_hide
SPL-BRN-455,Splenda • Classic,Brown - 4.5-5 oz (1.8-2 mm),SQ1650969,,,Brown,4.5-5,full_hide
SPL-BLK-455,Splenda • Classic,Black - 4.5-5 oz (1.8-2 mm),SQ5350632,,,Black,4.5-5,full_hide
HOR-DUB-NAT-45,Horween • Dublin,Natural - 4-5 oz (1.6 – 2 mm),SQ4133664,*Natural Dublin 4-4.5 oz,Dublin,Natural,4-5,full_hide
ACC,30mm Color 8 Cordovan Belt,Size 38 - Increase Pant Size by 2 for Belt Size - Brass,SQ0069045,,,,,accessory
ACC,30mm Color 8 Cordovan Belt,Size 38 - Increase Pant Size by 2 for Belt Size - Silver,SQ4187002,,,,,accessory
UNKNOWN,Leather Scrap Box,2 Boxes (10lbs),SQ8344321,,,,,full_hide
HOR-STR,Horween • Russet Horsehide Strips,Soft Rolled Strips - 9+ oz,SQ3405217,,,,,strips
CFS-SMP,C.F. Stead  Swatch Books,Waxy Commander,SQ7794058,,,,,sample_book
CFS-SMP,C.F. Stead  Swatch Books,Waxy Mohawk,SQ1280212,,,,,sample_book
ACC,35mm Color 8 Cordovan Belt,Size 34,SQ0188773,,,,,accessory
ACC-NAT,Tulliani Belts • Wacker Drive,36 - Natural Chomexcel,SQ1466867,,,Natural,,accessory
CFS-SMP,C.F. Stead  Swatch Books,Rambler,SQ8878257,,,,,sample_book
ACC,"Tokonole • Leather Burnishing Gum, Clear",500 g,SQ9899880,,,,,accessory
HOR-STR-79,Horween • Russet Horsehide Strips,Hard Rolled Strips - 7-9 oz,SQ0000842,,,,7-9,strips
HOR-PNL-DRB-LIG-56,Horween Derby Leather Panels,1’ Panel (12”x12”) - Light Natural - 5-6 oz (2-2.4 mm),SQ0965249,,Derby,Light Natural,5-6,panel
HOR-PNL-DUB-NUT-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Brown Nut - 3-4 oz (1.2-1.6 mm),SQ5555602,Panel Dublin Brown Nut 3.5-4 oz,Dublin,Brown Nut,3-4,panel
HOR-DRB-OLD-45,Horween • Derby,Olde English - 4-5 oz (1.6 – 2 mm),SQ4417005,Derby Olde English 4-5 oz,Derby,Olde English,4-5,full_hide
HOR-PNL-CHX-BLK-34,Horween Chromexcel® Leather Panels,"2' Panel (12""x24"") - Black - 3-4 oz (1.2-1.6 mm)",SQ7769354,Panel Chrxl Black 3.5-4 oz,Chromexcel,Black,3-4,panel
HOR-MON-56,Horween • Montana,Chocolate - 5-6 oz (2.0 –  2.4 mm),SQ5808750,Bison Montana Black 5-6 oz,Montana,,5-6,full_hide
HOR-DRB-NAT-45,Horween • Derby,Natural - 4-5 oz (1.6 – 2 mm),SQ5268859,Derby Natural 4-5 oz,Derby,Natural,4-5,full_hide
HOR-STR-CHX-TAN,Horween • Chromexcel® Strips,Tan,SQ7960339,*Horsebutt Strips Chrxl Tan,Chromexcel,Tan,,strips
WAL-BUT-657,Conceria Walpier • Buttero,No Resin - Foresta - 6.5-7 oz (2.6-2.8 mm),SQ8636126,Buttero #100 Black (Res) 6.5-7,Buttero,,6.5-7,full_hide
CFS-BLK,C.F. Stead • Doeskin,Black,SQ9462736,,,Black,,full_hide
WAL-BUT-NAT-657,Conceria Walpier • Buttero,Resin - Natural - 6.5-7 oz (2.6-2.8 mm),SQ5684668,Buttero Natural (Resin) 6.5-7,Buttero,Natural,6.5-7,full_hide
WAL-BUT-GRE-335,Conceria Walpier • Buttero,No Resin - #11 Green - 3-3.5 oz (1.2-1.4 mm),SQ7410747,Buttero #11 Green (Resin) 3-3.5,Buttero,Green,3-3.5,full_hide
HOR-PNL-DUB-LIG-34,Horween Dublin Leather Panels,2’ Panel (12”x24”) - Light Natural - 3-4 oz (1.2-1.6 mm),SQ7453146,,Dublin,Light Natural,3-4,panel
HOR-DUB-BLK-34,Horween • Dublin,Black - 3-4 oz (1.2-1.6 mm),SQ3322776,Dublin Black 3.5-4 oz,Dublin,Black,3-4,full_hide
HOR-DUB-NAT-56,Horween • Dublin,Natural - 5-6 oz (2.0 –  2.4 mm),SQ6310333,*Natural Dublin 5.5-6z,Dublin,Natural,5-6,full_hide
HOR-DUB-NUT,"Coronado • Clark Backpack, Horween Brown Nut Dublin",,SQ2556404,*Brown Nut Dublin 6-7 oz,Dublin,Brown Nut,,full_hide
HOR-CYP-34,Horween • Cypress,Dark Sand - 3-4 oz (1.2-1.6 mm),SQ5698785,Cypress Black 3.5-4oz,Cypress,,3-4,full_hide
HOR-DUB-ENG-45,Horween • Dublin,English Tan - 4-5 oz (1.6 – 2 mm),SQ6527288,*English Tan Dublin 4.5-5z,Dublin,English Tan,4-5,full_hide
HOR-CYP-34,Horween • Cypress,Persian Red - 3-4 oz (1.2-1.6 mm),SQ2906540,Cypress Black 3.5-4oz,Cypress,,3-4,full_hide
HOR-DUB-ENG-34,Horween • Dublin,English Tan - 3-4 oz (1.2-1.6 mm),SQ1028157,Dublin English Tan 3-3.5 oz,Dublin,English Tan,3-4,full_hide
HOR-PNL-CHX-BUR-56,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Burgundy - 5-6 oz (2-2.4 mm)",SQ0766922,Panel Chrxl Burgundy 5-6 oz,Chromexcel,Burgundy,5-6,panel
HOR-PNL-CHX-BUR-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Burgundy - 3-4 oz (1.2-1.6 mm)",SQ4631709,Panel Chrxl Burgundy 3.5-4 oz,Chromexcel,Burgundy,3-4,panel
HOR-SMP,Horween Swatch Books,Glove,SQ0776396,,,,,sample_book
HOR-BLK,Horween • Horween X Baseball Glove,Black,SQ7885793,,,Black,,full_hide
HOR-CHX-NAT-56,Horween • Chromexcel®,Natural - 5-6 oz (2.0 –  2.4 mm),SQ5363467,*Natural Chromexcel 5-5.5oz,Chromexcel,Natural,5-6,full_hide
HOR-ESX-NUT-34,Horween • Essex,Brown Nut - 3-4 oz (1.2-1.6 mm),SQ4954223,Essex Brown Nut 3.5-4 oz,Essex,Brown Nut,3-4,full_hide
WAL-BUT-BRN-335,Conceria Walpier • Buttero,No Resin - #7 Brown - 3-3.5 oz (1.2-1.4 mm),SQ4301334,Buttero #2 Brown (Resin) 3-3.5,Buttero,Brown,3-3.5,full_hide
WAL-BUT-BLK-555,Conceria Walpier • Buttero,Resin - Black - 5-5.5 oz (2-2.2 mm),SQ4641860,Buttero #100 Black (Res) 5-5.5,Buttero,Black,5-5.5,full_hide
VIR-SMO-NAT-34,Virgilio • Smoked Matte,Natural - 3-4 oz (1.2-1.6 mm),SQ0784541,Smoked Matte Natural 3-3.5 oz,Smoked Matte,Natural,3-4,full_hide
HOR-BLK,Horween • Featherlite Baseball Glove,Black,SQ8694160,,,Black,,full_hide
TUS-NAV,Tusting & Burnett • Sokoto Bookbinding,Midnight Navy,SQ1044503,,,Navy,,full_hide
CFS-4555,C.F. Stead • Kudu Classic,Caramel: 4.5-5.5 oz // ~11 SF,SQ8916344,,,,4.5-5.5,full_hide
HOR-HF-ASP-NAT-2535,Horween • Aspen Double Horsefronts,Natural - 2.5-3.5 oz (1.0-1.4 mm),SQ9613576,DHF Aspen Natural,Aspen,Natural,2.5-3.5,horsefront
HOR-DRB-COB-34,Horween • Derby,Cobalt Blue - 3-4 oz (1.2-1.6 mm),SQ7677205,Derby Cobalt Blue 3.5-4 oz,Derby,Cobalt Blue,3-4,full_hide
HOR-PNL-CHX-NAT-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Natural - 3-4 oz (1.2-1.6 mm)",SQ8623584,Panel Chrxl Natural 3.5-4 oz,Chromexcel,Natural,3-4,panel
HOR-PNL-DRB-NAT-34,Horween Derby Leather Panels,1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),SQ2047506,Panel Derby Natural 3.5-4 oz,Derby,Natural,3-4,panel
HOR-PNL-DUB-NAT-34,Horween Dublin Leather Panels,1’ Panel (12”x12”) - Natural - 3-4 oz (1.2-1.6 mm),SQ1967451,Panel Dublin Natural 3.5-4 oz,Dublin,Natural,3-4,panel
HOR-CHX-NAV-56,Horween • Chromexcel®,Navy - 5-6 oz (2.0 –  2.4 mm),SQ4581370,*Navy Chrxl 5.5-6 oz,Chromexcel,Navy,5-6,full_hide
HOR-SMP,Horween Swatch Books,Football & Basketball,SQ4146620,,,,,sample_book
WAL-BUT-BRN-555,Conceria Walpier • Buttero,Resin - #7 Brown - 5-5.5 oz (2-2.2 mm),SQ0245247,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide
HOR-PNL-CHX-BRN-34,Horween Chromexcel® Leather Panels,"1' Panel (12""x12"") - Brown - 3-4 oz (1.2-1.6 mm)",SQ2245002,Panel Chrxl Brown 3.5-4 oz,Chromexcel,Brown,3-4,panel
HOR-DEA-56,Horween • Dearborn,Fun Blue - 5-6 oz (2.0-2.4 mm),SQ5118041,Dearborn Black 5-6 oz,Dearborn,,5-6,full_hide
HOR-CHX-NAT-89,Horween • Chromexcel®,Natural - 8-9 oz (3.2 –  3.6 mm),SQ4147851,Chrxl Natural 8-9 oz,Chromexcel,Natural,8-9,full_hide
HOR-DRB-RUS-45,Horween • Derby,Russet Brown - 4-5 oz (1.6 – 2 mm),SQ8109139,,Derby,Russet Brown,4-5,full_hide
HOR-CHX-NAT-34,Horween • Chromexcel®,Natural - 3-4 oz (1.2-1.6 mm),SQ4284179,Beaufort Chrxl Natural 3.5-4 oz,Chromexcel,Natural,3-4,full_hide
HOR-CHX-GRN-34,Horween • Chromexcel®,Greener Pastures - 3-4 oz (1.2-1.6 mm),SQ9349980,,Chromexcel,Greener Pastures,3-4,full_hide
HOR-CHX-BLK-34,Horween • Chromexcel®,Black - 3-4 oz (1.2-1.6 mm),SQ2963480,Beaufort Chrxl Black 3.5-4 oz,Chromexcel,Black,3-4,full_hide
UNKNOWN,Arazzo Alaska Upholstery Leather,Sage,SQ1656293,,,,,full_hide
UNKNOWN,Gift Card Redemption,,,,,,,full_hide
HOR-PNL-DRB-ENG-56,Horween Derby Leather Panels,2’ Panel (12”x24”) - English Tan - 5-6 oz (2-2.4 mm),SQ3681773,Panel Derby English T 5-6 oz,Derby,English Tan,5-6,panel
HOR-CHX-GRN-56,Horween • Chromexcel®,Greener Pastures - 5-6 oz (2.0 –  2.4 mm),SQ9837596,Chrxl Greener Pastures 5-6 oz,Chromexcel,Greener Pastures,5-6,full_hide
WAL-BUT-NAT-335,Conceria Walpier • Buttero,Resin - Natural - 3-3.5 oz (1.2-1.4 mm),SQ2810781,Buttero Natural (Resin) 3-3.5,Buttero,Natural,3-3.5,full_hide
WAL-BUT-BRN-555,Conceria Walpier • Buttero,No Resin - #2 Brown - 5-5.5 oz (2-2.2 mm),SQ1453471,Buttero #2 Brown (Resin) 5-5.5,Buttero,Brown,5-5.5,full_hide
HOR-ESX-NAT-45,Horween • Essex,Natural - 4-5 oz (1.6 – 2 mm),SQ1424890,*Natural Essex 4.5-5oz,Essex,Natural,4-5,full_hide
HOR-LAT-56,Horween • Latigo,Moc - 5-6 oz (2.0 –  2.4 mm),SQ0691053,*Anil Latigo Dark Rio 5-6 oz,Latigo,,5-6,full_hide
HOR-LAT-BLK-56,Horween • Latigo,Black - 5-6 oz (2.0 –  2.4 mm),SQ0463445,Aniline Latigo Black 5-6 oz,Latigo,Black,5-6,full_hide
HOR-LAT-RIO-56,Horween • Latigo,Rio - 5-6 oz (2.0 –  2.4 mm),SQ6356622,Aniline Latigo Rio 5-6 oz,Latigo,Rio,5-6,full_hide
ACC,Intercom Ecostick 1816B • Water-Based Leather Glue,1 Box - 2 Bags (10 kg),SQ8238262,,,,,accessory
